Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Model recved successfully!
Begin!
Epoch 133, Time:416.73479104042053, Loss:2.1206918160120645
Epoch 134, Time:419.465389251709, Loss:2.076270842552185
Epoch 135, Time:422.17614698410034, Loss:2.052395502726237
Epoch 136, Time:424.860280752182, Loss:2.0109056631724043
Epoch 137, Time:427.5667998790741, Loss:2.0574355045954387
Epoch 138, Time:430.2838890552521, Loss:2.0942818244298294
Epoch 139, Time:432.9959454536438, Loss:1.99641637802124
Epoch 140, Time:435.71655464172363, Loss:1.9884682893753054
Epoch 141, Time:438.3886206150055, Loss:1.982435401280721
Epoch 142, Time:441.1080324649811, Loss:2.019306468963623
Epoch 143, Time:443.8112826347351, Loss:1.9531878868738808
Epoch 144, Time:446.46616077423096, Loss:2.0162050882975255
Epoch 145, Time:449.1699481010437, Loss:2.056886506080627
Epoch 146, Time:456.2969665527344, Loss:2.0046332915623983
Epoch 147, Time:463.40791726112366, Loss:2.060661514600118
Epoch 148, Time:470.5783476829529, Loss:2.0193687121073403
Epoch 149, Time:477.7833309173584, Loss:2.035197297732035
Epoch 150, Time:485.07683277130127, Loss:2.0691896279652915
Epoch 151, Time:487.7520577907562, Loss:2.0398610909779866
Epoch 152, Time:490.42062878608704, Loss:1.9597263971964518
Epoch 153, Time:493.08013916015625, Loss:2.074373952547709
Epoch 154, Time:495.7503192424774, Loss:1.9567106564839678
Epoch 155, Time:498.39655351638794, Loss:2.005374670028687
Epoch 156, Time:501.07243180274963, Loss:1.9850135246912637
Epoch 157, Time:503.6819648742676, Loss:1.9648976484934484
Epoch 158, Time:506.3311605453491, Loss:2.0425027449925746
Epoch 159, Time:509.0186131000519, Loss:2.0037862141927083
Epoch 160, Time:511.69113969802856, Loss:2.0291038354237876
Epoch 161, Time:514.3457591533661, Loss:2.0194547096888225
Epoch 162, Time:517.0361969470978, Loss:2.0613339026769
Epoch 163, Time:519.6780149936676, Loss:1.9673947095870972
Epoch 164, Time:522.3316540718079, Loss:1.9348774830500284
Epoch 165, Time:524.98286485672, Loss:1.907745965321859
Epoch 166, Time:527.6784775257111, Loss:1.917746098836263
Epoch 167, Time:530.3540461063385, Loss:2.057503652572632
Epoch 168, Time:533.035591840744, Loss:2.112004065513611
Epoch 169, Time:535.6907384395599, Loss:1.9064653476079303
Epoch 170, Time:538.3502695560455, Loss:1.949467341105143
Epoch 171, Time:540.9826531410217, Loss:2.007169691721598
Epoch 172, Time:543.6613757610321, Loss:2.0358362118403117
Epoch 173, Time:546.3417026996613, Loss:2.1276153643925984
Epoch 174, Time:548.9778108596802, Loss:1.981606149673462
Epoch 175, Time:551.6313946247101, Loss:2.054646484057109
Epoch 176, Time:554.2610559463501, Loss:1.9715081453323364
Epoch 177, Time:556.9185178279877, Loss:1.968855373064677
Epoch 178, Time:559.5592052936554, Loss:1.9969844102859498
Epoch 179, Time:562.2480702400208, Loss:2.0901753425598146
Epoch 180, Time:564.9179155826569, Loss:2.0561161438624063
Epoch 181, Time:567.5640861988068, Loss:1.9707237402598063
Epoch 182, Time:570.2221729755402, Loss:1.9681093533833822
Epoch 183, Time:572.8961737155914, Loss:1.9987300316492715
Epoch 184, Time:575.5489263534546, Loss:1.9331327438354493
Epoch 185, Time:578.2367043495178, Loss:1.869725688298543
Epoch 186, Time:580.8513729572296, Loss:2.033776553471883
Epoch 187, Time:583.5121231079102, Loss:1.920780380566915
Epoch 188, Time:586.1644339561462, Loss:1.9399965763092042
Epoch 189, Time:588.835382938385, Loss:1.9438358068466184
Epoch 190, Time:591.4871447086334, Loss:1.8970717509587602
Epoch 191, Time:594.1232709884644, Loss:2.0088065067927046
Epoch 192, Time:596.7712597846985, Loss:1.947647007306417
Epoch 193, Time:599.398503780365, Loss:2.0990381240844727
Epoch 194, Time:602.0533845424652, Loss:1.9944276571273807
Epoch 195, Time:604.6942086219788, Loss:1.9982612212498982
Epoch 196, Time:611.8690881729126, Loss:1.9494834343592327
Epoch 197, Time:618.9527044296265, Loss:1.93828813234965
Epoch 198, Time:625.994078874588, Loss:1.9881616433461506
Epoch 199, Time:633.2003982067108, Loss:1.9726495345433555
Epoch 200, Time:640.4123904705048, Loss:1.9967827558517457
Epoch 201, Time:643.0938582420349, Loss:1.9794347604115803
Epoch 202, Time:645.7369372844696, Loss:1.8429646571477254
Epoch 203, Time:648.4225957393646, Loss:2.040356222788493
Epoch 204, Time:651.1041088104248, Loss:1.8801565090815227
Epoch 205, Time:653.7939476966858, Loss:1.8415483951568603
Epoch 206, Time:656.5004713535309, Loss:1.951740845044454
Epoch 207, Time:659.1380639076233, Loss:1.9778482755025228
Epoch 208, Time:661.8524880409241, Loss:1.9838170289993287
Epoch 209, Time:664.5588924884796, Loss:1.9397284984588625
Epoch 210, Time:667.2600128650665, Loss:1.8210510492324825
Epoch 211, Time:669.9541928768158, Loss:1.9682276169459023
Epoch 212, Time:672.6532688140869, Loss:1.9545087575912474
Epoch 213, Time:675.3491189479828, Loss:1.9410316864649455
Epoch 214, Time:678.0765006542206, Loss:1.9230356772740682
Epoch 215, Time:680.7549409866333, Loss:1.9672826051712036
Epoch 216, Time:683.4793078899384, Loss:2.0069403330485027
Epoch 217, Time:686.1831512451172, Loss:1.923184053103129
Epoch 218, Time:688.8850507736206, Loss:1.9472246328989662
Epoch 219, Time:691.5824248790741, Loss:1.890251104036967
Epoch 220, Time:694.2804584503174, Loss:1.9159761587778723
Epoch 221, Time:696.9834868907928, Loss:1.8672000805536906
Epoch 222, Time:699.6257712841034, Loss:2.0952412764231365
Epoch 223, Time:702.3189597129822, Loss:1.9286715348561605
Epoch 224, Time:705.040983915329, Loss:1.8901548067728677
Epoch 225, Time:707.720796585083, Loss:1.8861845572789506
Epoch 226, Time:710.4100320339203, Loss:1.887950110435486
Epoch 227, Time:713.1069896221161, Loss:2.0272887070973713
Epoch 228, Time:715.8629639148712, Loss:1.892637912432353
Epoch 229, Time:718.5661897659302, Loss:1.85150891939799
Epoch 230, Time:721.2543530464172, Loss:1.940391731262207
Epoch 231, Time:723.9459052085876, Loss:1.904254237810771
Epoch 232, Time:726.6754686832428, Loss:1.9660885016123453
Epoch 233, Time:729.3860974311829, Loss:1.840515073140462
Epoch 234, Time:732.0570662021637, Loss:1.9310702641805015
Epoch 235, Time:734.7671535015106, Loss:1.9806190490722657
Epoch 236, Time:737.4703843593597, Loss:1.880699777603149
Epoch 237, Time:740.1443610191345, Loss:1.9690698862075806
Epoch 238, Time:742.8793723583221, Loss:1.9960934241612749
Epoch 239, Time:745.600742816925, Loss:1.8668313185373944
Epoch 240, Time:748.3364939689636, Loss:1.8195723533630372
Epoch 241, Time:751.0205953121185, Loss:1.8118496735890706
Epoch 242, Time:753.7387733459473, Loss:2.1454689900080366
Epoch 243, Time:756.3665592670441, Loss:2.0446080446243284
Epoch 244, Time:759.0749015808105, Loss:1.9336071729660036
Epoch 245, Time:761.7127494812012, Loss:1.9844063282012936
Epoch 246, Time:768.8910131454468, Loss:1.9947075128555298
Epoch 247, Time:775.9406752586365, Loss:1.8898718277613322
Epoch 248, Time:783.116128206253, Loss:1.9931174755096435
Epoch 249, Time:790.3020679950714, Loss:1.9593362967173253
Epoch 250, Time:797.5556075572968, Loss:1.90044109026591
Epoch 251, Time:800.238883972168, Loss:1.7817780176798503
Epoch 252, Time:802.9071209430695, Loss:1.806375543276469
Epoch 253, Time:805.581305027008, Loss:1.8074860016504923
Epoch 254, Time:808.26993060112, Loss:1.973444509506225
Epoch 255, Time:810.941707611084, Loss:1.9208409945170084
Epoch 256, Time:813.629255771637, Loss:2.036891253789266
Epoch 257, Time:816.1399104595184, Loss:1.9862814664840698
Epoch 258, Time:818.781397819519, Loss:2.0626184701919557
Epoch 259, Time:821.4814953804016, Loss:1.9497699340184529
Epoch 260, Time:824.1453251838684, Loss:1.9628267049789425
Epoch 261, Time:826.7989776134491, Loss:1.9235288858413695
Epoch 262, Time:829.5078270435333, Loss:1.9709078391393025
Epoch 263, Time:832.1580288410187, Loss:1.998623283704122
Epoch 264, Time:834.8286032676697, Loss:2.001540716489156
Epoch 265, Time:837.4523270130157, Loss:2.0887799501419066
Epoch 266, Time:840.1150770187378, Loss:1.913183569908142
Epoch 267, Time:842.811675786972, Loss:1.8737701813379923
Epoch 268, Time:845.476982831955, Loss:2.0402124166488647
Epoch 269, Time:848.177404165268, Loss:1.9838196118672689
Epoch 270, Time:850.8539834022522, Loss:1.8623944441477456
Epoch 271, Time:853.5210633277893, Loss:1.8764090220133465
Epoch 272, Time:856.1718401908875, Loss:1.853365683555603
Epoch 273, Time:858.8303897380829, Loss:1.9534119923909503
Epoch 274, Time:861.4586069583893, Loss:2.0170328378677365
Epoch 275, Time:864.129875421524, Loss:1.9313078800837198
Epoch 276, Time:866.8114807605743, Loss:1.8788833141326906
Epoch 277, Time:869.4935908317566, Loss:1.8547512928644816
Epoch 278, Time:872.1787540912628, Loss:1.8128038644790652
Epoch 279, Time:874.8878991603851, Loss:1.9091616312662758
Epoch 280, Time:877.5585837364197, Loss:1.8124717235565182
Epoch 281, Time:880.2141933441162, Loss:1.8175937493642171
Epoch 282, Time:882.8713953495026, Loss:1.9323776404062907
Epoch 283, Time:885.5272648334503, Loss:1.8559318463007608
Epoch 284, Time:888.187712430954, Loss:2.032958300908407
Epoch 285, Time:890.8493349552155, Loss:1.9771382093429564
Epoch 286, Time:893.5541088581085, Loss:1.8183969974517822
Epoch 287, Time:896.1996169090271, Loss:1.7802491267522176
Epoch 288, Time:898.8052222728729, Loss:1.8708364804585775
Epoch 289, Time:901.4392325878143, Loss:1.836929353078206
Epoch 290, Time:904.1085648536682, Loss:1.8743229071299234
Epoch 291, Time:906.7831568717957, Loss:1.9140730222066247
Epoch 292, Time:909.4605181217194, Loss:1.9435547908147175
Epoch 293, Time:912.1067979335785, Loss:1.9527445475260414
Epoch 294, Time:914.7714002132416, Loss:1.9348510662714642
Epoch 295, Time:917.440509557724, Loss:1.9157253424326581
Epoch 296, Time:924.6448669433594, Loss:1.8809266249338785
Epoch 297, Time:931.7372064590454, Loss:1.8065982898076376
Epoch 298, Time:938.8372700214386, Loss:1.7596670866012574
Epoch 299, Time:945.9782361984253, Loss:1.8305843273798625
Epoch 300, Time:953.1125435829163, Loss:1.901489583651225
Epoch 301, Time:955.7422137260437, Loss:1.8402598857879637
Epoch 302, Time:958.4141628742218, Loss:1.8639424800872806
Epoch 303, Time:961.0727083683014, Loss:1.988690686225891
Epoch 304, Time:963.7486824989319, Loss:2.0346174796422325
Epoch 305, Time:966.410346031189, Loss:2.0229883114496867
Epoch 306, Time:969.1085495948792, Loss:1.8139280160268147
Epoch 307, Time:971.71639752388, Loss:1.998916959762573
Epoch 308, Time:974.369188785553, Loss:1.8025760412216187
Epoch 309, Time:977.0533955097198, Loss:1.824603001276652
Epoch 310, Time:979.7216417789459, Loss:1.8881307919820154
Epoch 311, Time:982.4092478752136, Loss:1.7657917658487956
Epoch 312, Time:985.0774130821228, Loss:1.967223087946574
Epoch 313, Time:987.7500395774841, Loss:1.9169309775034586
Epoch 314, Time:990.4198491573334, Loss:1.9529637416203818
Epoch 315, Time:993.1113660335541, Loss:1.9461286783218383
Epoch 316, Time:995.7587494850159, Loss:1.9574559211730957
Epoch 317, Time:998.4132299423218, Loss:1.8118424733479819
Epoch 318, Time:1001.0629043579102, Loss:1.810828995704651
Epoch 319, Time:1003.7257022857666, Loss:2.0026572545369468
Epoch 320, Time:1006.3977315425873, Loss:1.8772595961888632
Epoch 321, Time:1009.03795337677, Loss:1.8365137894948325
Epoch 322, Time:1011.6916468143463, Loss:1.8271142800649007
Epoch 323, Time:1014.341676235199, Loss:2.0291770060857135
Epoch 324, Time:1017.0237138271332, Loss:1.9431529283523559
Epoch 325, Time:1019.721449136734, Loss:1.81737478574117
Epoch 326, Time:1022.3993666172028, Loss:1.9178307453791303
Epoch 327, Time:1025.0713093280792, Loss:1.847819169362386
Epoch 328, Time:1027.7638561725616, Loss:1.9163036266962687
Epoch 329, Time:1030.4464979171753, Loss:1.7964578708012897
Epoch 330, Time:1033.109236240387, Loss:1.8984944423039753
Epoch 331, Time:1035.8145360946655, Loss:1.8561623573303223
Epoch 332, Time:1038.4641604423523, Loss:1.8315211296081546
Epoch 333, Time:1041.1318666934967, Loss:1.7553791761398314
Epoch 334, Time:1043.8382892608643, Loss:2.0060031414031987
Epoch 335, Time:1046.4744362831116, Loss:1.8530361970265705
Epoch 336, Time:1049.1357741355896, Loss:1.87344647248586
Epoch 337, Time:1051.795567035675, Loss:1.8198933045069379
Epoch 338, Time:1054.4857115745544, Loss:1.9075691382090252
Epoch 339, Time:1057.1339235305786, Loss:1.8492968400319416
Epoch 340, Time:1059.8295698165894, Loss:1.8664473295211792
Epoch 341, Time:1062.4877669811249, Loss:1.8977472782135012
Epoch 342, Time:1065.1358609199524, Loss:1.8259029308954873
Epoch 343, Time:1067.7764809131622, Loss:1.857395879427592
Epoch 344, Time:1070.4294142723083, Loss:1.8367121934890747
Epoch 345, Time:1073.0782866477966, Loss:1.8921476284662886
